Unidade da Federação;Urbana;Rural;Total
11 Rondônia;444809;226838;671647
12 Acre;190077;86466;276543
13 Amazonas;1066706;331484;1398190
14 Roraima;123087;35273;158360
15 Pará;2102458;957081;3059539
16 Amapá;213733;23846;237579
17 Tocantins;431871;133420;565291
21 Maranhão;1746202;1092592;2838794
22 Piauí;938616;506372;1444988
23 Ceará;2777846;1024341;3802187
24 Rio Grande do Norte;1059876;356953;1416829
25 Paraíba;1283304;488543;1771847
26 Pernambuco;3183257;908430;4091687
27 Alagoas;1000571;443108;1443679
28 Sergipe;662159;247410;909569
29 Bahia;4544426;2063791;6608217
31 Minas Gerais;7526930;1512977;9039907
32 Espírito Santo;1263309;299117;1562426
33 Rio de Janeiro;7217575;273372;7490947
35 São Paulo;17731201;1161839;18893040
41 Paraná;3984067;841971;4826038
42 Santa Catarina;2141715;545334;2687049
43 Rio Grande do Sul;4299600;893479;5193079
50 Mato Grosso do Sul;886137;151840;1037977
51 Mato Grosso;987895;229271;1217166
52 Goiás;2235879;274911;2510790
53 Distrito Federal;1027660;42130;1069790
Total;71070966;15152189;86223155
