Unidade da Federação;Urbana;Rural;Total
11 Rondônia;569424;225733;795157
12 Acre;259387;108937;368324
13 Amazonas;1361562;391617;1753179
14 Roraima;170950;57909;228859
15 Pará;2537790;1284047;3821837
16 Amapá;297796;37339;335135
17 Tocantins;540464;161960;702424
21 Maranhão;1995845;1265670;3261515
22 Piauí;973279;555143;1528422
23 Ceará;3031838;1088250;4120088
24 Rio Grande do Norte;1183327;365560;1548887
25 Paraíba;1349820;474559;1824379
26 Pernambuco;3334440;896241;4230681
27 Alagoas;1093652;418115;1511767
28 Sergipe;723916;281125;1005041
29 Bahia;4840611;2037655;6878266
31 Minas Gerais;8108983;1532894;9641877
32 Espírito Santo;1422604;308614;1731218
33 Rio de Janeiro;7354325;271354;7625679
35 São Paulo;19166619;911254;20077873
41 Paraná;4325985;805009;5130994
42 Santa Catarina;2578521;521839;3100360
43 Rio Grande do Sul;4370784;834273;5205057
50 Mato Grosso do Sul;1029512;190416;1219928
51 Mato Grosso;1243777;305759;1549536
52 Goiás;2664186;317441;2981627
53 Distrito Federal;1180777;48103;1228880
Total;77710174;15696816;93406990
