Unidade da Federação;Urbana;Rural;Total
11 Rondônia;579756;187496;767252
12 Acre;272892;92343;365235
13 Amazonas;1393928;336878;1730806
14 Roraima;173909;47711;221620
15 Pará;2653769;1105445;3759214
16 Amapá;303240;31151;334391
17 Tocantins;549642;131379;681021
21 Maranhão;2151304;1161970;3313274
22 Piauí;1077680;512258;1589938
23 Ceará;3314719;1017574;4332293
24 Rio Grande do Norte;1281664;337476;1619140
25 Paraíba;1488858;453291;1942149
26 Pernambuco;3717770;847997;4565767
27 Alagoas;1204208;404519;1608727
28 Sergipe;796450;266526;1062976
29 Bahia;5261865;1876775;7138640
31 Minas Gerais;8606233;1349220;9955453
32 Espírito Santo;1508868;274866;1783734
33 Rio de Janeiro;8109914;254336;8364250
35 São Paulo;20418632;765694;21184326
41 Paraná;4586707;726825;5313532
42 Santa Catarina;2669392;478684;3148076
43 Rio Grande do Sul;4729507;759365;5488872
50 Mato Grosso do Sul;1067726;161370;1229096
51 Mato Grosso;1239024;246562;1485586
52 Goiás;2756528;265633;3022161
53 Distrito Federal;1301433;39847;1341280
Total;83215618;14133191;97348809
