Faixa etária;Homens;Mulheres;Homens_a;Mulheres_a;Homens_obitos;Mulheres_obitos;Ano
0 a 4 anos;32994;31758;;;112;82;2022
5 a 9 anos;32530;30713;6559;6225;7;4;2022
10 a 14 anos;29925;28288;6140;5818;12;18;2022
15 a 19 anos;28873;28002;5911;5473;43;18;2022
20 a 24 anos;29360;29351;5892;5831;77;29;2022
25 a 29 anos;27568;28132;5884;6083;96;27;2022
30 a 34 anos;24602;25129;5614;5688;73;30;2022
35 a 39 anos;24419;24524;5071;5163;114;46;2022
40 a 44 anos;21464;22316;5154;5341;98;43;2022
45 a 49 anos;16924;17520;3700;4003;98;44;2022
50 a 54 anos;14317;14070;3372;3187;102;66;2022
55 a 59 anos;11850;11618;2487;2512;129;72;2022
60 a 64 anos;9086;8999;2150;2067;171;69;2022
65 a 69 anos;6857;6525;1662;1576;158;87;2022
70 a 74 anos;4576;4154;1189;1029;168;76;2022
75 a 79 anos;2570;2479;688;584;139;101;2022
80 anos e mais;2477;2737;;;272;248;2022
