Data;ICMS
01/1997;191.559
02/1997;146.957
03/1997;135.884
04/1997;150.408
05/1997;139.997
06/1997;156.741
07/1997;161.977
08/1997;171.233
09/1997;159.469
10/1997;146.432
11/1997;164.958
12/1997;179.079
01/1998;217.919
02/1998;202.440
03/1998;184.649
04/1998;193.320
05/1998;194.752
06/1998;174.491
07/1998;207.345
08/1998;214.933
09/1998;220.682
10/1998;235.056
11/1998;228.246
12/1998;226.247
01/1999;266.744
02/1999;225.291
03/1999;230.057
04/1999;247.410
05/1999;238.988
06/1999;268.625
07/1999;263.487
08/1999;259.121
09/1999;268.703
10/1999;276.648
11/1999;279.083
12/1999;269.185
01/2000;300.918
02/2000;257.341
03/2000;245.102
04/2000;240.201
05/2000;262.191
06/2000;265.579
07/2000;273.053
08/2000;297.416
09/2000;279.163
10/2000;284.265
11/2000;299.964
12/2000;304.533
01/2001;338.217
02/2001;324.422
03/2001;330.814
04/2001;329.605
05/2001;333.100
06/2001;346.228
07/2001;351.728
08/2001;308.300
09/2001;334.285
10/2001;317.256
11/2001;339.539
12/2001;326.278
01/2002;423.835
02/2002;331.793
03/2002;325.633
04/2002;346.622
05/2002;391.758
06/2002;362.335
07/2002;327.756
08/2002;364.138
09/2002;342.074
10/2002;329.435
11/2002;325.308
12/2002;361.156
01/2003;435.361
02/2003;394.690
03/2003;400.606
04/2003;401.130
05/2003;400.833
06/2003;379.546
07/2003;407.488
08/2003;390.489
09/2003;422.346
10/2003;388.466
11/2003;368.853
12/2003;410.381
01/2004;479.868
02/2004;385.584
03/2004;345.500
04/2004;379.128
05/2004;383.070
06/2004;435.294
07/2004;516.967
08/2004;515.512
09/2004;435.170
10/2004;433.485
11/2004;465.288
12/2004;515.853
01/2005;540.285
02/2005;451.288
03/2005;427.473
04/2005;464.492
05/2005;473.169
06/2005;445.866
07/2005;454.774
08/2005;482.342
09/2005;478.528
10/2005;418.219
11/2005;523.433
12/2005;490.636
01/2006;604.799
02/2006;475.968
03/2006;495.329
04/2006;471.010
05/2006;447.316
06/2006;540.152
07/2006;515.493
08/2006;540.147
09/2006;569.595
10/2006;536.615
11/2006;626.231
12/2006;582.933
01/2007;666.452
02/2007;562.802
03/2007;533.026
04/2007;565.666
05/2007;555.736
06/2007;560.805
07/2007;579.384
08/2007;535.192
09/2007;559.666
10/2007;569.362
11/2007;565.425
12/2007;578.785
01/2008;711.154
02/2008;601.314
03/2008;557.623
04/2008;573.925
05/2008;586.781
06/2008;626.815
07/2008;623.480
08/2008;656.132
09/2008;643.998
10/2008;707.998
11/2008;735.481
12/2008;715.026
01/2009;861.532
02/2009;697.138
03/2009;687.187
04/2009;707.011
05/2009;664.756
06/2009;677.458
07/2009;707.305
08/2009;711.699
09/2009;819.225
10/2009;852.036
11/2009;856.637
12/2009;929.949
01/2010;1.033.341
02/2010;841.448
03/2010;894.089
04/2010;905.942
05/2010;937.888
06/2010;913.939
07/2010;922.173
08/2010;901.505
09/2010;1.020.319
10/2010;932.400
11/2010;1.022.395
12/2010;1.073.807
01/2011;1.167.359
02/2011;1.019.524
03/2011;1.005.182
04/2011;1.024.848
05/2011;1.161.394
06/2011;1.052.255
07/2011;1.074.860
08/2011;1.046.098
09/2011;1.089.525
10/2011;1.103.163
11/2011;1.219.091
12/2011;1.174.032
01/2012;1.451.136
02/2012;1.053.938
03/2012;1.138.463
04/2012;1.143.397
05/2012;1.094.173
06/2012;1.178.893
07/2012;1.227.172
08/2012;1.227.172
09/2012;1.168.305
10/2012;1.188.900
11/2012;1.274.322
12/2012;1.237.033
01/2013;1.413.055
02/2013;1.176.418
03/2013;1.239.170
04/2013;1.226.716
05/2013;1.231.308
06/2013;1.283.697
07/2013;1.210.732
08/2013;1.265.641
09/2013;1.371.216
10/2013;1.342.755
11/2013;1.381.209
12/2013;1.303.275
01/2014;1.483.578
02/2014;1.313.877
03/2014;1.222.037
04/2014;1.251.051
05/2014;1.285.982
06/2014;1.243.132
07/2014;1.396.401
08/2014;1.336.146
09/2014;1.358.401
10/2014;1.470.566
11/2014;1.329.740
12/2014;1.351.370
01/2015;1.621.095
02/2015;1.213.738
03/2015;1.284.981
04/2015;1.264.586
05/2015;1.276.882
06/2015;1.393.312
07/2015;1.300.784
08/2015;1.305.741
09/2015;1.360.939
10/2015;1.266.279
11/2015;1.279.396
12/2015;1.487.949
01/2016;1.467.340
02/2016;1.166.931
03/2016;1.192.259
04/2016;1.250.997
05/2016;1.194.498
06/2016;1.234.577
07/2016;1.236.030
08/2016;1.261.836
09/2016;1.294.595
10/2016;1.166.179
11/2016;1.248.512
12/2016;1.351.993
01/2017;1.411.916
02/2017;1.245.398
03/2017;1.199.756
04/2017;1.328.167
05/2017;1.274.644
06/2017;1.337.101
07/2017;1.254.958
08/2017;1.299.936
09/2017;1.339.723
10/2017;1.333.732
11/2017;1.363.766
12/2017;1.458.367
01/2018;1.507.982
02/2018;1.302.050
03/2018;1.205.054
04/2018;1.328.610
05/2018;1.221.266
06/2018;1.245.575
07/2018;1.298.098
08/2018;1.321.378
09/2018;1.347.602
10/2018;1.322.910
11/2018;1.369.992
12/2018;1.325.450
01/2019;1.509.877
02/2019;1.325.784
03/2019;1.256.219
04/2019;1.303.257
Fonte;MF-Cotepe
