Data;Exportação;Importação
01/1989;102959;333811
02/1989;103882;201849
03/1989;146690;327004
04/1989;136280;326280
05/1989;145176;464498
06/1989;154996;303240
07/1989;179152;427818
08/1989;134255;407939
09/1989;134932;426397
10/1989;113831;394798
11/1989;61592;337576
12/1989;93447;379550
01/1990;112204;449328
02/1990;81739;329205
03/1990;106703;321342
04/1990;101043;316748
05/1990;188714;326347
06/1990;102281;281539
07/1990;192357;301496
08/1990;117093;446921
09/1990;86847;445626
10/1990;110301;506829
11/1990;118274;541131
12/1990;136991;538355
01/1991;131124;378960
02/1991;144317;343195
03/1991;109104;222256
04/1991;194484;302412
05/1991;192882;274319
06/1991;112427;361192
07/1991;99210;295816
08/1991;149236;405136
09/1991;195816;267855
10/1991;142157;455842
11/1991;141777;376533
12/1991;146544;334283
01/1992;115212;309758
02/1992;99874;406300
03/1992;153636;316827
04/1992;155959;320787
05/1992;161414;369106
06/1992;126146;348768
07/1992;190775;326621
08/1992;153112;273848
09/1992;219122;310880
10/1992;151395;324272
11/1992;162636;294582
12/1992;203326;533650
01/1993;181762;331536
02/1993;106723;201014
03/1993;224257;347712
04/1993;161392;272026
05/1993;155690;275737
06/1993;165647;337461
07/1993;150577;364096
08/1993;322115;329430
09/1993;175730;301117
10/1993;156197;235525
11/1993;147662;232399
12/1993;162597;287833
01/1994;130664;246157
02/1994;191216;209916
03/1994;174878;259749
04/1994;185770;229528
05/1994;242321;224252
06/1994;169866;334850
07/1994;125840;253161
08/1994;203698;244100
09/1994;216384;350789
10/1994;269650;266182
11/1994;203386;634877
12/1994;191152;391914
01/1995;115716;346659
02/1995;117323;379594
03/1995;183235;416136
04/1995;191381;351573
05/1995;131066;418331
06/1995;146490;476755
07/1995;149266;344545
08/1995;194483;478426
09/1995;231030;341551
10/1995;189576;391573
11/1995;217020;371688
12/1995;191011;342782
01/1996;214981;306718
02/1996;146155;333558
03/1996;157741;404214
04/1996;178491;343125
05/1996;227455;372721
06/1996;139526;480805
07/1996;148176;413736
08/1996;174143;404722
09/1996;102565;419477
10/1996;125177;494342
11/1996;151500;608603
12/1996;118407;530049
01/1997;125537;216913
02/1997;113921;400866
03/1997;152275;421406
04/1997;135080;498039
05/1997;121278;358115
06/1997;139289;550084
07/1997;168433;400443
08/1997;160608;393141
09/1997;170149;424832
10/1997;177938;447486
11/1997;132078;432483
12/1997;137709;511973
01/1998;119790;362309
02/1998;136519;328720
03/1998;169076;440750
04/1998;154023;385393
05/1998;143160;355137
06/1998;162302;356913
07/1998;181352;448659
08/1998;99220;333492
09/1998;183283;495653
10/1998;144372;414555
11/1998;163097;353672
12/1998;126111;390135
01/1999;93021;303353
02/1999;122838;274522
03/1999;146950;366198
04/1999;119041;341706
05/1999;137477;303046
06/1999;120908;414467
07/1999;125509;358750
08/1999;149366;444899
09/1999;157720;356081
10/1999;129823;446916
11/1999;147340;405831
12/1999;190855;405806
01/2000;127023;354624
02/2000;131768;405035
03/2000;143874;494555
04/2000;135657;289509
05/2000;167431;454775
06/2000;145050;385764
07/2000;178601;420316
08/2000;174532;470379
09/2000;160872;460870
10/2000;123777;409179
11/2000;137774;420187
12/2000;208974;470240
01/2001;229360;548727
02/2001;187717;398187
03/2001;159764;589892
04/2001;200358;422308
05/2001;214476;460855
06/2001;271012;654973
07/2001;241072;467143
08/2001;218015;565732
09/2001;119574;391818
10/2001;148890;659849
11/2001;162944;569348
12/2001;231249;405080
01/2002;157377;470714
02/2002;142080;404367
03/2002;270934;392205
04/2002;261915;495103
05/2002;317332;542508
06/2002;175248;327138
07/2002;498904;781017
