Data;Primário;Secundário;Terciário;Energia;Petróleo
01/1997;560;148803;191559;37749;59704
02/1997;440;157921;146957;44112;54744
03/1997;513;159194;135884;45940;46662
04/1997;540;153725;150408;45865;61726
05/1997;541;169741;139997;40613;62000
06/1997;507;156251;156741;40773;34493
07/1997;701;179629;161977;35649;50813
08/1997;627;175095;171233;26762;54390
09/1997;663;179790;159469;35930;57248
10/1997;615;181753;146432;36363;55093
11/1997;728;185591;164958;35197;59891
12/1997;560;173213;179079;54374;47810
01/1998;531;174221;217919;52191;53824
02/1998;524;159044;202440;71778;51436
03/1998;574;164361;184649;79733;60177
04/1998;597;178838;193320;80854;63208
05/1998;571;168478;194752;75527;51331
06/1998;511;117185;174491;68146;35356
07/1998;588;175546;207345;76923;53170
08/1998;694;161872;214933;56458;51181
09/1998;555;175138;220682;65864;59588
10/1998;614;191181;235056;73666;53848
11/1998;539;167853;228246;67960;51134
12/1998;550;170880;226247;71311;48089
01/1999;574;163739;266744;75189;62267
02/1999;495;154061;225291;85919;56362
03/1999;539;159220;230057;85688;51780
04/1999;501;208707;247410;86635;64168
05/1999;522;185100;238988;82684;71681
06/1999;564;175383;268625;73609;68522
07/1999;512;178998;263487;74986;85403
08/1999;605;189606;259121;81200;84877
09/1999;539;180434;268703;85332;96855
10/1999;475;189570;276648;85549;89842
11/1999;564;181527;279083;85212;82813
12/1999;750;230880;269185;52147;63787
01/2000;420;186771;300918;105336;89705
02/2000;417;173772;257341;106600;84316
03/2000;486;193384;245102;105715;88476
04/2000;493;183686;240201;107551;75682
05/2000;783;210050;262191;102383;70680
06/2000;618;211599;265579;95086;80816
07/2000;580;211675;273053;94889;91980
08/2000;646;200874;297416;83070;92072
09/2000;589;195660;279163;81415;105333
10/2000;1836;203058;284265;86733;126096
11/2000;1615;207244;299964;88796;130374
12/2000;559;215670;304533;96399;122508
01/2001;636;216483;338217;107907;138847
02/2001;553;195613;324422;120952;128232
03/2001;410;201912;330814;128527;114986
04/2001;649;229900;329605;136716;120162
05/2001;652;212091;333100;129578;111130
06/2001;664;222089;346228;116989;139410
07/2001;716;211251;351728;92382;124160
08/2001;723;238044;308300;84922;118469
09/2001;757;231791;334285;83143;120304
10/2001;765;229030;317256;76809;121452
11/2001;754;229073;339539;73089;130556
12/2001;973;214757;326278;90912;88970
01/2002;1149;230336;423835;106106;125179
02/2002;1218;222666;331793;113066;118207
03/2002;1290;204118;325633;120585;104529
04/2002;1143;219045;346622;116603;104098
05/2002;988;217267;391758;209220;122750
06/2002;952;215900;362335;118339;129388
07/2002;1537;213856;327756;110360;206524
08/2002;1159;259439;364138;161465;204274
09/2002;1137;209291;342074;64817;145385
