Data;Transferências
01/1991;10644000
02/1991;12803000
03/1991;17495000
04/1991;20421000
05/1991;36695000
06/1991;38660000
07/1991;45746000
08/1991;56071000
09/1991;67466000
10/1991;87177000
11/1991;107426000
12/1991;145393000
01/1992;17229000
02/1992;21048000
03/1992;31714000
04/1992;35245000
05/1992;61412000
06/1992;66122000
07/1992;80574000
08/1992;98947000
09/1992;120631000
10/1992;161294000
11/1992;199958000
12/1992;259584000
01/1993;416737
02/1993;607475
03/1993;597061
04/1993;1083202
05/1993;1168768
06/1993;1603929
07/1993;2319242
08/1993;2219333
09/1993;3144202
10/1993;5728313
11/1993;4254586
12/1993;9486000
01/1994;10570929
02/1994;14229283
03/1994;18213444
04/1994;23885626
05/1994;40898242
06/1994;57365384
07/1994;26230
08/1994;28158
09/1994;29253
10/1994;29926
11/1994;34446
12/1994;35888
01/1995;37636
02/1995;41327
03/1995;33537
04/1995;37621
05/1995;38526
06/1995;48670
07/1995;40222
08/1995;36316
09/1995;36541
10/1995;37818
11/1995;38671
12/1995;40142
01/1996;41826
02/1996;42583
03/1996;37771
04/1996;61201
05/1996;42339
06/1996;40932
07/1996;42432
08/1996;39627
09/1996;41876
10/1996;39611
11/1996;42212
12/1996;53399
01/1997;57174
02/1997;45500
03/1997;61073
04/1997;71026
05/1997;74765
06/1997;42035
07/1997;89310
08/1997;69672
09/1997;343542
10/1997;102681
11/1997;74424
12/1997;77991
01/1998;90790
02/1998;86480
03/1998;58219
04/1998;69287
05/1998;64668
06/1998;57545
07/1998;59022
08/1998;70048
09/1998;67203
10/1998;60422
11/1998;63320
12/1998;63338
01/1999;75422
02/1999;77495
03/1999;95868
04/1999;91035
05/1999;96103
06/1999;44216
07/1999;48500
08/1999;53975
09/1999;50319
10/1999;60409
11/1999;57752
12/1999;62922
01/2000;66708
02/2000;63024
03/2000;66727
04/2000;70481
05/2000;67243
06/2000;56538
07/2000;53841
08/2000;127211
09/2000;116493
10/2000;109130
11/2000;103624
12/2000;99333
01/2001;103456
02/2001;88690
03/2001;80444
04/2001;91294
05/2001;99469
06/2001;91161
07/2001;83566
08/2001;86734
09/2001;91386
10/2001;89282
11/2001;90917
12/2001;105247
01/2002;114668
02/2002;128265
03/2002;103819
04/2002;109336
05/2002;120301
06/2002;93437
07/2002;98964
08/2002;95503
09/2002;102442
10/2002;126945
11/2002;114539
12/2002;112858
01/2003;120080
02/2003;122719
03/2003;109184
04/2003;106623
05/2003;135165
06/2003;103675
07/2003;90635
08/2003;111494
09/2003;99193
10/2003;104622
11/2003;112850
12/2003;117262
01/2004;128811
02/2004;138940
03/2004;117622
04/2004;152190
05/2004;144966
06/2004;106013
07/2004;122341
08/2004;135277
09/2004;121444
10/2004;153457
11/2004;127897
12/2004;149134
01/2005;188103
02/2005;145051
03/2005;140613
04/2005;172436
05/2005;168144
06/2005;158914
07/2005;160133
08/2005;144291
09/2005;126741
10/2005;166059
11/2005;126741
12/2005;236223
01/2006;207209
02/2006;140553
03/2006;135050
04/2006;173909
05/2006;171714
06/2006;209651
07/2006;179957
08/2006;158401
09/2006;156914
10/2006;165392
11/2006;200007
12/2006;237153
01/2007;193769
02/2007;178337
03/2007;150778
04/2007;208047
05/2007;189183
06/2007;194600
07/2007;183460
08/2007;166066
09/2007;186496
10/2007;194818
11/2007;191408
12/2007;262255
01/2008;248163
02/2008;244696
03/2008;201591
04/2008;254996
05/2008;241652
06/2008;212428
07/2008;220171
08/2008;235943
09/2008;213060
10/2008;221944
11/2008;246098
12/2008;296540
01/2009;250984
02/2009;219384
03/2009;174644
04/2009;221386
05/2009;282466
06/2009;217550
07/2009;180782
08/2009;192477
09/2009;175648
10/2009;254680
11/2009;237325
12/2009;330824
01/2010;253013
02/2010;251196
03/2010;194021
04/2010;262231
05/2010;268635
06/2010;245305
07/2010;215958
08/2010;243593
09/2010;211942
10/2010;252735
11/2010;264569
12/2010;395959
01/2011;345987
02/2011;336387
03/2011;225357
04/2011;324222
05/2011;324175
06/2011;303855
07/2011;295205
08/2011;273272
09/2011;226378
10/2011;333872
11/2011;310188
12/2011;439827
01/2012;309502
02/2012;375887
03/2012;269805
04/2012;343021
05/2012;367458
06/2012;316654
07/2012;265472
08/2012;274595
09/2012;249904
10/2012;249904
11/2012;327110
12/2012;456358
01/2013;354276
02/2013;429428
03/2013;266687
04/2013;280657
05/2013;393750
06/2013;343380
07/2013;264326
08/2013;328179
09/2013;323569
10/2013;285409
11/2013;372630
12/2013;479400
01/2014;433365
02/2014;443077
03/2014;285545
04/2014;367432
05/2014;413716
06/2014;324613
07/2014;289878
08/2014;340254
09/2014;302950
10/2014;297177
11/2014;377840
12/2014;506424
01/2015;448067
02/2015;420307
03/2015;318837
04/2015;342460
05/2015;415708
06/2015;366681
07/2015;315993
08/2015;324905
09/2015;280232
10/2015;339648
11/2015;348066
12/2015;492895
01/2016;411548
02/2016;455736
03/2016;299428
04/2016;366571
05/2016;447492
06/2016;353309
07/2016;387934
08/2016;337750
09/2016;290547
10/2016;353711
11/2016;635553
12/2016;884860
01/2017;411219
02/2017;494092
03/2017;316605
04/2017;405431
05/2017;424077
06/2017;395691
07/2017;466517
08/2017;358069
09/2017;314205
10/2017;393554
11/2017;353738
12/2017;599710
01/2018;465598
02/2018;566041
03/2018;393136
04/2018;431143
05/2018;489990
06/2018;478135
07/2018;473553
08/2018;410238
09/2018;329007
10/2018;373474
11/2018;434748
12/2018;667579
01/2019;535005
02/2019;570327
03/2019;451032
04/2019;443110
05/2019;537252
06/2019;438168
07/2019;521228
08/2019;441072
